rcid,airpt_cd,airpt_name,cntry_cd,atpco_cntry_cd,icao,city_cd,lat,lng,timezone,gmt,is_rail_road,is_bus_station,geoname_id,us_state_cd,atpco_zone,atpco_area
7834,TNU,"Newton Municipal Airport",US,US,KTNU,TNU,41.700000,-93.050000,America/Chicago,-6,N,N,4868920,,000,1
7835,TNV,Tabuaeran,KI,KI,,TNV,3.833333,-159.350000,Pacific/Kiritimati,14,N,N,0,,340,3
7836,TNW,Jumandy,EC,EC,,TNW,62.666195,-153.711200,America/Guayaquil,-5,N,N,8298753,,170,1
7837,TNX,"Stung Treng",KH,KH,VDST,TNX,13.533333,106.033330,Asia/Phnom_Penh,7,N,N,7730213,,320,3
7838,TNZ,Tosontsengel,MN,MN,,TNZ,48.739723,98.275276,Asia/Hovd,7,N,N,8260912,,320,3
7839,TOA,"Torrance Airport",US,US,KTOA,TOA,33.833332,-118.316666,America/Los_Angeles,-8,N,N,5411133,,000,1
7840,TOB,Tobruk,LY,LY,HLGN,TOB,31.854168,23.917221,Africa/Tripoli,1,N,N,7730618,,230,2
7841,TOC,"Toccoa RG Letourneau Field",US,US,KTOC,TOC,34.583332,-83.316666,America/New_York,-5,N,N,4226722,,000,1
7842,TOD,Tioman,MY,MY,WMBT,TOD,2.750000,104.166664,Asia/Kuala_Lumpur,8,N,N,6354928,,320,3
7843,TOE,Tozeur,TN,TN,DTTZ,TOE,33.916668,8.133333,Africa/Tunis,1,N,N,6296476,,210,2
7844,TOF,Tomsk,RU,XU,UNTT,TOF,56.500000,84.966670,Asia/Novosibirsk,7,N,N,7668526,,360,3
7845,TOG,"Togiak Village",US,US,PATG,TOG,59.056667,-160.382220,America/Anchorage,-9,N,N,5876352,AK,008,1
7846,TOH,"Torres Airstrip",VU,VU,NVSD,TOH,-13.166667,166.750000,Pacific/Efate,11,N,N,7668374,,340,3
7847,TOI,"Troy Municipal Airport",US,US,KTOI,TOI,31.800000,-85.966670,America/Chicago,-6,N,N,4094172,,000,1
7848,TOJ,"Torrejon AFB",ES,ES,LETO,MAD,40.455555,-3.546667,Europe/Madrid,1,N,N,6301767,,210,2
7849,TOK,Torokina,PG,PG,,TOK,-6.233333,155.333330,Pacific/Port_Moresby,10,N,N,8260911,,340,3
7850,TOL,"Toledo Express",US,US,KTOL,TOL,41.592500,-83.806900,America/New_York,-5,N,N,5174046,OH,000,1
7851,TOM,Tombouctou,ML,ML,GATB,TOM,16.732222,-3.005278,Africa/Bamako,0,N,N,6297182,,230,2
7852,TON,Tonu,PG,PG,,TON,-6.350000,155.591660,Pacific/Port_Moresby,10,N,N,8260910,,340,3
7853,TOO,"San Vito",CR,CR,MRSV,TOO,8.833333,-82.966670,America/Costa_Rica,-6,N,N,7730114,,160,1
7854,TOP,"Philip Billard",US,US,KTOP,TOP,39.069720,-95.622500,America/Chicago,-6,N,N,4280539,,000,1
7855,TOQ,Barriles,CL,CL,,TOQ,-22.136110,-70.061386,America/Santiago,-3,N,N,3869716,,170,1
7856,TOR,"Torrington Municipal Airport",US,US,KTOR,TOR,42.066666,-104.183334,America/Denver,-7,N,N,5841211,,000,1
7857,TOS,Tromso/langnes,NO,NO,ENTC,TOS,69.679830,18.907343,Europe/Oslo,1,N,N,6296776,,210,2
7858,TOT,Coronie,SR,SR,,TOT,5.883333,-56.316666,America/Paramaribo,-3,N,N,3382867,,140,1
7859,TOU,Touho,NC,NC,NWWU,TOU,-20.800000,165.250000,Pacific/Noumea,11,N,N,7730138,,340,3
7860,TOV,"West End SPB",VG,VG,,TOV,18.450000,-64.583336,America/Tortola,-4,N,N,0,,140,1
7861,TOW,Toledo,BR,BR,SBTD,TOW,-24.698610,-53.696110,America/Sao_Paulo,-2,N,N,7730783,,170,1
7862,TOX,Tobolsk,RU,XU,USTO,TOX,58.133330,68.233330,Asia/Yekaterinburg,6,N,N,7731556,,360,3
7863,TOY,Toyama,JP,JP,RJNT,TOY,36.642450,137.189450,Asia/Tokyo,9,N,N,6300369,,310,3
7864,TOZ,Touba,CI,CI,DITM,TOZ,8.283333,-7.683333,Africa/Abidjan,0,N,N,8261045,,230,2
7865,TPA,"Tampa International",US,US,KTPA,TPA,27.979870,-82.535416,America/New_York,-5,N,N,4174772,FL,000,1
7866,TPC,Tarapoa,EC,EC,SETR,TPC,-1.416667,-76.783330,America/Guayaquil,-5,N,N,7668451,,170,1
7867,TPE,"Taiwan Taoyuan International (Chiang Kai Shek International)",TW,TW,RCTP,TPE,25.076390,121.223890,Asia/Taipei,8,N,N,1980018,,320,3
7868,TPF,"Peter O'Knight",US,US,KTPF,TPA,27.950000,-82.450000,America/New_York,-5,N,N,6301737,,000,1
7869,TPG,Taiping,MY,MY,WMBI,TPG,4.850000,100.733330,Asia/Kuala_Lumpur,8,N,N,7731557,,320,3
7870,TPH,"Tonopah Airport",US,US,KTPH,TPH,38.066666,-117.233330,America/Los_Angeles,-8,N,N,5513796,,000,1
7871,TPI,Tapini,PG,PG,,TPI,-8.366667,146.983340,Pacific/Port_Moresby,10,N,N,8261018,,340,3
7872,TPJ,"Taplejung Suketar",NP,NP,VNTJ,TPJ,27.350000,87.683334,Asia/Kathmandu,6,N,N,7731558,,330,3
7873,TPK,Tapaktuan,ID,ID,WITA,TPK,3.266667,97.183334,Asia/Jakarta,7,N,N,7731559,,320,3
7874,TPL,"Draughon-miller Central Texas Regional",US,US,KTPL,TPL,31.150278,-97.409164,America/Chicago,-6,N,N,6299184,TX,000,1
7875,TPN,Tiputini,EC,EC,SETI,TPN,-0.766667,-75.533330,America/Guayaquil,-5,N,N,6300724,,170,1
7876,TPO,"Tanalian Point",US,US,,TPO,60.166668,-154.333330,America/Anchorage,-9,N,N,0,,000,1
7877,TPP,Tarapoto,PE,PE,SPST,TPP,-6.511111,-76.398610,America/Lima,-5,N,N,6300820,,170,1
7878,TPQ,Tepic,MX,MX,MMEP,TPQ,21.500000,-104.900000,America/Mazatlan,-7,N,N,6299842,,000,1
7879,TPR,"Tom Price",AU,AU,,TPR,-22.750000,117.666664,Australia/Perth,8,N,N,7731560,,340,3
7880,TPS,Birgi,IT,IT,LICT,TPS,37.901386,12.495865,Europe/Rome,1,N,N,6299562,,210,2
7881,TPT,Tapeta,LR,LR,,TPT,6.483333,-8.866667,Africa/Monrovia,0,N,N,0,,230,2
7882,TPU,Tikapur,NP,NP,,TPU,28.550000,81.191666,Asia/Kathmandu,6,N,N,0,,330,3
7883,TPX,Tupai,PF,PF,,TPX,-16.283333,-151.833330,Pacific/Tahiti,-10,N,N,8299123,,340,3
7884,TPY,"Porta Nuova Railway Station",IT,IT,,TRN,45.070562,7.686619,Europe/Rome,1,Y,N,0,,210,2
7885,TQD,"Al Taqaddum AB",IQ,IQ,,TQD,33.338100,43.596900,Asia/Baghdad,3,N,N,8299116,,220,2
7886,TQL,Tarko-Sale,RU,XU,USDS,TQL,64.921340,77.797356,Asia/Yekaterinburg,6,N,N,8260760,,360,3
7887,TQN,Taluqan,AF,AF,OATQ,TQN,36.766666,69.533330,Asia/Kabul,5,N,N,8298749,,330,3
7888,TQR,"San Domino Island",IT,IT,,TQR,42.116670,15.483333,Europe/Rome,1,N,N,0,,210,2
